,Click to star the Github Repo,,,,,,,Connect/Follow on LinkedIn,,,,Last updated:,2022-06-22 12:30 (GMT),
Q. No.,Name / Link,"Likes
(L)","Dislikes
(D)","Reactions
(L+D)","L/D
Ratio","Acceptance
Rate",Category,Topic Tags,Difficulty,Free?,"Has
Solution?","Has Video
Solution?","Total
Accepted","Total
Submitted"
110,Balanced Binary Tree,6225,331,6556,18.81,47.18%,Algorithms,"Tree, Depth-First Search, Binary Tree, ",Easy,TRUE,TRUE,FALSE,807648,1711829
746,Min Cost Climbing Stairs,6185,1075,7260,5.75,59.48%,Algorithms,"Array, Dynamic Programming, ",Easy,TRUE,TRUE,FALSE,501871,843758
103,Binary Tree Zigzag Level Order Traversal,6175,176,6351,35.09,54.05%,Algorithms,"Tree, Breadth-First Search, Binary Tree, ",Medium,TRUE,TRUE,FALSE,737298,1364159
118,Pascal's Triangle,6202,220,6422,28.19,65.7%,Algorithms,"Array, Dynamic Programming, ",Easy,TRUE,TRUE,TRUE,840099,1278659
9,Palindrome Number,6161,2175,8336,2.83,52.55%,Algorithms,"Math, ",Easy,TRUE,TRUE,FALSE,2188186,4164303
410,Split Array Largest Sum,6126,155,6281,39.52,52.43%,Algorithms,"Array, Binary Search, Dynamic Programming, Greedy, ",Hard,TRUE,TRUE,FALSE,216069,412116
16,3Sum Closest,6125,269,6394,22.77,46.95%,Algorithms,"Array, Two Pointers, Sorting, ",Medium,TRUE,TRUE,FALSE,823209,1753550
134,Gas Station,6112,624,6736,9.79,44.58%,Algorithms,"Array, Greedy, ",Medium,TRUE,TRUE,FALSE,421634,945747
123,Best Time to Buy and Sell Stock III,6092,122,6214,49.93,43.58%,Algorithms,"Array, Dynamic Programming, ",Hard,TRUE,TRUE,FALSE,393238,902252
378,Kth Smallest Element in a Sorted Matrix,6069,244,6313,24.87,59.95%,Algorithms,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix, ",Medium,TRUE,TRUE,FALSE,396824,661902
100,Same Tree,6066,140,6206,43.33,55.75%,Algorithms,"Tree, Depth-First Search, Breadth-First Search, Binary Tree, ",Easy,TRUE,TRUE,FALSE,1089939,1954911
235,Lowest Common Ancestor of a Binary Search Tree,6068,197,6265,30.8,57.66%,Algorithms,"Tree, Depth-First Search, Binary Search Tree, Binary Tree, ",Easy,TRUE,TRUE,FALSE,800026,1387608
133,Clone Graph,5981,2605,8586,2.3,48.6%,Algorithms,"Hash Table, Depth-First Search, Breadth-First Search, Graph, ",Medium,TRUE,TRUE,FALSE,752078,1547582
399,Evaluate Division,5938,496,6434,11.97,58.87%,Algorithms,"Array, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path, ",Medium,TRUE,TRUE,FALSE,286254,486276
82,Remove Duplicates from Sorted List II,5939,175,6114,33.94,44.69%,Algorithms,"Linked List, Two Pointers, ",Medium,TRUE,TRUE,FALSE,505204,1130429
309,Best Time to Buy and Sell Stock with Cooldown,5946,212,6158,28.05,53.02%,Algorithms,"Array, Dynamic Programming, ",Medium,TRUE,TRUE,FALSE,290191,547337
47,Permutations II,5875,102,5977,57.6,55.72%,Algorithms,"Array, Backtracking, ",Medium,TRUE,TRUE,FALSE,665542,1194412
